
	Material	Material Description
	      Unrestricted	Unit


	10029	POST-MIX LAITE CAPRICE BHC
	                2	ST


	10032	POST-MIX HARTEK KAPPA / PULSAR 80
	                5	ST


	10039	POST- MIX LISÄPISTOOLI WUNDERBAR 122CM
	               38	ST


	10040	PURCHASING ARTICLE
	           50.286	ST


	10041	PURCHASING ARTICLE
	                1	SHT


	10045	PEPSI TRISTAR TOWER WITH 6 FLOWMATIC VAL
	                1	ST


	10047	VENDING MACHINE VENDO GF9
	                1	ST


	10048	VENDING MACHINE DN 276E JAFFA
	               13	ST


	10049	VENDING MACHINE DN 276E PEPSI
	               26	ST


	10050	VENDING MACHINE DN 501E PEPSI
	                4	ST


	10051	VENDING MACHINE VENDO VDI 544-8 DD
	               21	ST


	10054	VENDING MACHINE VENDO VDI 550-8
	                2	ST


	10059	AUTOM - G2-LINKKI KOTELOITUNA, GSM-MOD.
	            6.304	ST


	10060	AUTOM - GSM/GPRS-MODUULI
	                6	ST


	10061	AUTOM - RAHALUKKO MEI CF7900MD
	              304	ST


	10064	DAVID BEER COOLER, 1 TAP
	               10	ST


	10066	OLUTJÄÄHD. TURBOALLAS BIERKUHL
	                5	ST


	10067	BEER COOLER BOC-4
	               31	ST


	10068	OLUTJÄÄHDYTIN KW-561
	                1	ST


	10071	BEER COOLER
	               27	ST


	10072	BEER COOLER ABC ALUMASC
	               21	ST


	10075	OLUTJÄÄHDYTIN BOC-3 BIERKUHL
	               24	ST


	10079	BEER COOLER BOC-5 BIERKUHL
	                2	ST


	10081	BEER COOLER RIO 10
	                1	ST


	10082	BEER COOLER RIO30
	                1	ST


	10084	BEER COOLER VISION BLUE SBS
	                4	ST


	10085	OLUTJÄÄHDYTIN, LAUHDUTIN HEAT DUMP
	                3	ST


	10087	BEER COOLER, GAMKO GLYKOOLI
	                1	ST


	10094	AIR COMPRESSOR ATLAS COPCO
	                1	ST


	10096	OLUTMITTALAITE BCS-31
	                8	ST


	10097	OLUTMITTALAITE TINY-III
	               38	ST


	10100	MEASURING AND WASHMODULE WWB
	               18	ST


	10101	BEER TAP KARJALA
	                6	ST


	10103	POD UNIT TARKA
	               20	ST


	10104	DOSING UNIT PDP DOSATRON D3RE2VF
	                9	ST


	10111	KYLMÄKAAPPI NORPE ROLL-IN 220/90
	                1	ST


	10115	BOTTLE COOLER PT 100 AHT
	                1	ST


	10146	736-COBRA PLUS 1WAY FONT CHROMEPLATED BR
	               17	ST


	10147	OLUTHANA, OSTO - LAPIN KULTA/BEVTEC
	                1	ST


	10149	CIDER TAP STRONGBOW
	                1	ST


	10150	OLUTLINJAHÄLY, WWB-PIENI
	                4	ST


	10154	22-2042-03 STRONGBOW EXTRA COLD WITH TAP
	               22	ST


	10156	CIDER TAP UPCIDER EC.
	                2	ST


	10157	 BEER TAP  NEWCASTLE BROWN ALE
	                3	ST


	10158	 BEER TAPFOSTER´S SC
	               35	ST


	10160	STP 3-2-20FR BIB-RACK
	               38	ST


	10162	LONG DRINK TAP ORIGINAL LD, 5,5
	               50	ST


	10163	HEINEKEN JÄÄHANA MITTAAVA
	               42	ST


	10165	MURPHY IRISH STOUT TAP
	                2	ST


	10169	OLUTMITTALAITE, BOS-2/K BIERKUHL
	                2	ST


	10170	2V.4K.UB BIB-RACK-2-SHELF, UNDRCOUNTER
	               14	ST


	10171	MUU LAITE, JÄÄHDYTINTELINE, KASATTAVA
	               18	ST


	10172	BIB RACK, SHELVES, 12MM POLYWOOD
	                4	ST


	10173	POST-MIX B-I-B TELINE PALLASKYLMÄ
	               12	ST


	10179	OLUTMITTALAITE BCS-21
	               19	ST


	10180	OLUTMITTALAITE BCS-10
	                5	ST


	10181	OLUTMITTALAITE BCS-61
	                1	ST


	10182	METERING UNIT BCS-23/WASH
	               76	ST


	10184	OLUTMITTALAITE TINY II
	                3	ST


	10185	OLUTHANA, OSTO - T-HANASTO BEVCON
	               34	ST


	10187	SMART TAP WITH PORTION CONTROL VALVE
	               17	ST


	10190	19874-1 TUBE & FLANGE ASSY, PERLICK
	                1	ST


	10195	OLUTHANA, OSTO - ROTOTAP, RST TAI KULLAT
	               41	ST


	10196	VALPAR PYTHON 6 + CABLE, Barriermaster
	              300	M


	10197	VALPAR PYTHON 10 + CABLE, BREWMASTER2
	              200	M


	10198	VALPAR PYTHON 14 + CABLE, BREWMASTER2
	              700	M


	10199	VALPAR PYTHON 6+4, +CABLE, BARRIERMASTER
	              200	M


	10204	OLUTMITTALAITE BCS-36
	                6	ST


	10205	VALPAR PYTHON 6 + CABLE, BREWMASTER2
	               50	M


	10209	ARROW 1 WAY LIGHTED TOWER WITH DRIPTRAY
	               42	ST


	10219	KONETELINE, RST, BOC-3, RIO-10
	                9	ST


	10220	KONETELINE, RST, ICE CORE 1
	               31	ST


	10221	KONETELINE, RST, ICE CORE 10, PULSAR 40
	               17	ST


	10222	KONETELINE, RST, HBC+BOC-4
	               12	ST


	10228	 Q21239  BACK PYTHON 2+2 LINE,  VALPAR
	              300	M


	10233	BEERCOOLER BLIZZARD3, CELLI
	                8	ST


	10235	TUBE IN TUBE PYTHON
	               60	M


	10236	POST-MIX BAR PISTOL RATTLER
	               40	ST


	10238	VENDING MACHINE VENDO G-DRINK DESIGN
	               14	ST


	10243	POST-MIX BAR PISTOL WUNDERBAR
	              193	ST


	10250	POST-MIX TOWER TOUCH SCREEN WUNDERBAR
	                1	ST


	10251	DAVID XL BEER COOLER, 2 TAPS
	               12	ST


	10260	NOVELLE TOWER COBRA PLUS 2-WAY
	              134	ST


	13505	OPREMA BEERCOOLER -BC 310-HD
	                1	ST


	13506	DAVID XL EXTRA COLD
	                1	ST


	14360	LAVAZZA LB4724 (2 GRUPPO)
	                6	ST


	14361	LAVAZZA LB4723 (1GRUPPO)
	               22	ST


	14362	LAVAZZA COFFEE EQUIP
	              130	ST


	14685	PEPSI MAX POLAR TOWER 6
	                5	ST


	15279	POST-MIX UNIT ICE CORE 10
	               10	ST


	15526	POST MIX UNIT ALBI 4
	               25	ST


	16504	VINECOOLER (DRY) 711223
	                1	ST


	17684	INDUSTRIAL T-4 BEER TOWER
	               25	ST


	17767	DART BEER TOWER
	               69	ST


	17827	INDUSTRIAL BRIDGE 6
	                4	ST


	17828	INDUSTRIAL BRIDGE 8
	               15	ST


	17829	INDUSTRIAL T-5 BEER TOWER
	                9	ST


	17904	BEER WALL COOLER 1180MM
	                9	ST


	17905	BEER WALL COOLER 1600MM
	                3	ST


	18724	LEAN 2.0 POST-MIX
	               23	ST


	19358	VALPAR PYTHON 12+4
	              925	M


	19741	BEERTANK 500 L
	                8	ST


	19766	VESIHANA HYDRA-2
	                9	ST


	19814	BEER COOLER MINI BOC
	               18	ST


	20031	GUINNESS HANA
	                7	ST


	20359	COSMETAL WATERDISPENSER HI CLASS TOP 30L
	               26	ST


	21409	Wittenborg 9100 R&G, COFFEE MACHINE
	                1	ST


	21460	POST MIX PEPSI TOWER FUSION 6
	               41	ST


	21468	HAWA Bunn AIRPOT, 3.0L SST, Coffee Therm
	               24	ST


	21523	BEVCO WATER DISPENSER AQUAVERT 36
	                5	ST


	21786	OPREMA BEERCOOLER -BC 310-W
	                2	ST


	21787	EASY WATER TOWER
	               45	ST


	22004	HAWA Bunn GVH_3A, COFFEE MACHINE
	                2	ST


	22355	HAWA Cimbali ELECTIVE, COFFEE MACHINE
	                1	ST


	22461	POST MIX TOWER FUSION 4
	                5	ST


	22462	POST MIX TOWER FUSION 3
	                3	ST


	22599	SEXY BEER TOWER 2 WAYS
	               14	ST


	22613	CIMBALI M23UP DT/2 COFFEE MACHINE
	                1	ST


	22938	AZUR T6 BEER TOWER
	                3	ST


	22942	POST-MIX DISPENSER/ICEMACHINE SV-250
	                9	ST


	24682	TABLETOP BEER COOLER
	                5	ST


	24831	POST-MIX UNIT LOOP PRO
	               62	ST


	25030	INDUSTRIAL T-3 BEER TOWER
	               17	ST


	26247	RIPPLE MAKER 2
	                6	ST


	26520	POST-MIX TOWER LANCER TST, PEPSIMAX
	               59	ST


	26652	MARCO Bru F 45A, COFFEE MACHINE
	                5	ST


	26708	BEER COOLER LIFE 145 VINSERVICE
	                1	ST


	26709	BEER COOLER LIFE 175 VINSERVICE
	                1	ST


	26710	BEER COOLER LIFE 65 VINSERVICE
	                1	ST


	27229	DIAGEO COCKTAIL 4-TAP TOWER
	               65	ST


	28199	CAST IRON HIGHTOWER 4
	                4	ST


	28231	CAST IRON HIGHTOWER 3
	                8	ST


	28273	BEER COOLER BC 062-A
	               11	ST


	28276	OLUTJÄÄHDYTIN BC 103-A 6m
	               31	ST


	29643	VELX SWIFT TAP TWIN SPOUT, BEER TOWER
	                1	ST


	29649	BUBBLY PREMIX DISPENCER CARBONATOR
	                1	ST


